name,company,place,salary,post_time
Python高级开发工程师,杭州英尼网络技术有限公司,杭州-江干区,1.5-3万/月,10-29
初级python,杭州顶真医药科技有限公司,杭州-余杭区,1-1.5万/月,10-29
python-web 全栈工程师,杭州创慧信息技术有限公司,杭州-滨江区,6-8千/月,10-29
Python开发工程师,杭州中焯信息技术股份有限公司,杭州-西湖区,0.8-1.1万/月,10-29
Python工程师,杭州奕安济世生物药业有限公司,杭州-江干区,1-2万/月,10-29
高级Python开发工程师,上海巴九灵文化传播有限公司,杭州-西湖区,1.2-2万/月,10-29
Python Web开发工程师,嘉兴构美信息技术有限公司,杭州-江干区,1-1.8万/月,10-29
高级python开发工程师,杭州恒生云融网络科技有限公司,杭州-滨江区,1.3-2万/月,10-29
Python开发工程师（数据平台）07-01-06,杭州大搜车汽车服务有限公司,杭州-余杭区,1.1-2万/月,10-29
Python开发工程师,杭州筑龙信息技术股份有限公司,杭州-滨江区,1.5-2万/月,10-29
python后端工程师,台州汇聚信息科技有限公司,异地招聘,1-2.5万/月,10-29
Python开发工程师,杭州阳晶电子商务有限公司,杭州-滨江区,4.5-7.5千/月,10-29
python/go软件工程师,上海秀可得企业管理咨询有限公司,杭州-西湖区,2-4.5万/月,10-27
Python项目经理（五险一金+上市公司）,达内软件技术（杭州）有限公司,杭州-江干区,0.8-1万/月,10-26
Python开发工程师,杭州昇星网络科技有限公司,杭州,150元/天,10-26
美资银行Java/Python后端开发,万宝盛华企业管理咨询（上海）有限...,杭州-西湖区,1-1.5万/月,10-26
Python爬虫工程师,杭州书沸科技有限公司,杭州-西湖区,1.2-2.4万/月,10-26
python开发工程师,杭州壹网壹创科技股份有限公司,杭州-江干区,0.8-1.2万/月,10-26
Python运维开发,广东坤智科技有限公司,广州-天河区,0.5-1.1万/月,10-30
Python高级开发工程师,北明软件有限公司,广州,1-1.5万/月,10-30
Python开发工程师,重庆仟界科技有限公司,重庆-渝中区,1.5-2万/月,10-30
Python开发工程师,河南省中思科技有限公司,郑州-郑东新区,6-8千/月,10-30
python研发工程师(J11045),北京传智播客教育科技有限公司,北京-昌平区,1-2万/月,10-30
爬虫Python工程师,广东骆驼户外用品有限公司,广州-白云区,0.8-1万/月,10-30
python助教,传智播客教育集团修正分校,北京-昌平区,10-15万/年,10-30
Python就业指导专员,传智播客教育集团南京分校,南京-雨花台区,15-20万/年,10-30
Python web讲师,传智播客教育集团广州分校,广州-天河区,2-3万/月,10-30
Python/Odoo开发工程师,千麦实业（上海）有限公司,上海-静安区,1-1.5万/月,10-30
Python开发工程师,北京斯普信信息技术有限公司,北京,1-1.5万/月,10-30
python开发工程师,华勤通讯技术有限公司,上海-浦东新区,,10-30
软件工程师 (AI Python),澜起科技（上海）有限公司,上海-徐汇区,1.5-3万/月,10-30
少儿编程老师（Scratch、Python、C语言）,广州学码教育科技有限公司,广州,0.8-1万/月,10-30
Python开发工程师,广州哇嘎文化传媒有限公司,广州-天河区,1.5-2万/月,10-30
Python/人工智能算法工程师,广州市西美信息科技有限公司,广州,1-2.5万/月,10-30
Python开发工程师,极翼机器人（上海）有限公司,上海-浦东新区,1.5-2万/月,10-30
机器人编程老师（Scratch.Python.c++）,无锡智慧喵教育科技有限公司,上海,0.6-1万/月,10-30
数据分析&挖掘师（IBM SPSS/Python)10k,福州咸鱼科技有限公司,厦门,1-1.5万/月,10-30
[SQB40]Python实习生,深圳百一软件科技有限公司,深圳-宝安区,4.5-7千/月,10-30
资深Web后端开发工程师（Python）,南京天数智芯科技有限公司,南京-雨花台区,1.5-2.5万/月,10-30
高级Python开发工程师（产品开发）,翔傲信息科技（上海）有限公司,上海-普陀区,2-2.5万/月,10-30
Python开发工程师,北京艾沃仕科技有限公司,北京-东城区,1-1.5万/月,10-30
Python实习生,西安新势力环保科技有限责任公司,重庆-渝北区,4.5-6千/月,10-30
高级Python开发工程师（深圳）,武汉微思敦网络技术有限公司,深圳-南山区,2-3万/月,10-30
Python开发工程师,南京罗杰软件发展有限公司,南京,1-1.5万/月,10-30
高级python开发工程师,万兴科技股份有限公司,深圳-南山区,1.5-2.5万/月,10-30
Python开发工程师,杭州迈可行通信股份有限公司,杭州-余杭区,1.2-1.5万/月,10-30
Python开发工程师,武汉福禄网络科技有限公司,武汉-江夏区,1-1.2万/月,10-30
Python讲师,石家庄新华电脑学校,石家庄,6-8千/月,10-30
PYTHON 数据算法架构师,上海贯信信息技术有限公司,上海-杨浦区,2-2.5万/月,10-30
python研发工程师,绿盟科技,西安,0.8-1万/月,10-30
Python算法工程师（数据挖掘）,深圳华策辉弘科技有限公司,深圳-福田区,1.5-2.3万/月,10-30
Python数据挖掘工程师,上海葵典云软件有限公司,上海,1-1.5万/月,10-30
python数据挖掘工程师,上海国泰广告有限公司,上海-徐汇区,1-1.5万/月,10-30
Python软件工程师,青岛聚品电子商务有限公司,青岛,0.6-1.2万/月,10-30
Python高级开发工程师,北京棣南新宇科技有限公司,北京-海淀区,1.5-2万/月,10-30
云计算Python开发工程师,上海思华科技股份有限公司,西安,0.8-1.2万/月,10-30
Python软件研发工程师,湖南天河国云科技有限公司,长沙-长沙县,0.8-1.6万/月,10-30
C++/Python/QT软件工程师,思力科（深圳）电子科技有限公司,南京-秦淮区,1.2-2.5万/月,10-30
Python高级开发工程师,叠云（北京）科技股份有限公司,北京,1.2-1.5万/月,10-30
大数据Python工程师,深圳光启空间技术有限公司,深圳-南山区,1.5-3万/月,10-30
Python软件工程师,上海华屹数码科技有限公司,上海-徐汇区,1-1.5万/月,10-30
Python工程师,北京联龙博通电子商务技术有限公司,北京-丰台区,1-1.5万/月,10-30
Python开发工程师,深圳市掌世界网络科技有限公司,深圳-罗湖区,0.6-1.2万/月,10-30
Python数据算法工程师,天智星（深圳）科技有限公司,深圳-南山区,2.5-4万/月,10-30
OpenStack研发工程师(python),上海聚杰信息技术有限公司,上海-浦东新区,1-2.5万/月,10-30
Python开发工程师（AI）,广州德亨信息技术有限公司,广州,0.8-1.2万/月,10-30
Python开发工程师,大连东软思维科技发展有限公司,沈阳-浑南区,6-8千/月,10-30
中高级Python开发工程师,北京中创信测科技股份有限公司,北京-海淀区,1.2-2万/月,10-30
Python开发工程师,浙江星汉信息技术股份有限公司,杭州-西湖区,0.6-1.2万/月,10-30
Java/Python高级工程师,银河互联网电视有限公司,北京-丰台区,1.5-2.5万/月,10-30
python 工程师,重庆土垚科技有限公司,重庆-渝中区,4.5-6千/月,10-30
Python开发工程师,深圳市德科信息技术有限公司,广州-天河区,6-8千/月,10-30
Python软件工程师,北京四中网校,北京,1.5-3万/月,10-30
Python开发工程师,普天信息技术有限公司,北京,0.8-1.5万/月,10-30
Python开发工程师,杭州小余科技有限公司,杭州-西湖区,1.5-2.5万/月,10-30
Python中高级开发工程师,新浪微博,北京,2-3.5万/月,10-30
Java、PHP、Python开发工程师,中经汇通电子商务有限公司,广州-天河区,1-2万/月,10-30
高级Python开发工程师,四川省酒业集团有限责任公司,成都-高新区,0.8-1.6万/月,10-30
Python开发工程师,杭州轻触科技有限公司,杭州,1-2万/月,10-30
Go/shell/python运维开发工程师,南京披云信息科技有限公司,南京-建邺区,0.5-1万/月,10-30
Python开发工程师（数据处理）,上海犀语科技有限公司,上海-杨浦区,0.8-1.6万/月,10-30
Python开发工程师,广东云算盘网络科技股份有限公司,广州-海珠区,0.7-1万/月,10-30
Python开发工程师（偏运维）,上海高重信息科技有限公司,异地招聘,0.8-1.5万/月,10-30
Python/嵌入式/C++技术支持讲师,达内时代教育集团武汉分公司,武汉-洪山区,6-8千/月,10-30
Python开发工程师,成都迈思信息技术有限公司,深圳,1-1.5万/月,10-30
Python开发工程师,上海百胜软件股份有限公司,上海-浦东新区,0.9-1.5万/月,10-30
Python开发工程师,上海网达软件股份有限公司,重庆-渝北区,0.4-1万/月,10-30
Python开发工程师,郑州三友软件科技有限公司,济南,0.8-1万/月,10-30
Python开发工程师-R89,深圳市芯智科技有限公司,深圳,0.8-1.5万/月,10-30
Python高级开发工程师,广州欧科信息技术股份有限公司,广州-黄埔区,1.3-1.8万/月,10-30
Python开发工程师,广东比兔网络科技有限公司,湛江,0.5-1万/月,10-30
python工程师,安徽七天教育科技有限公司,北京-昌平区,2.5-3万/月,10-30
C++量化开发/python,深圳市华傲数据技术有限公司,深圳-南山区,1.5-3万/月,10-30
算法开发实习生（Python方向）,贵州高新翼云科技有限公司,异地招聘,4.5-6千/月,10-30
Python工程师,北京新中商数据科技有限公司上海分...,上海-黄浦区,0.8-1.1万/月,10-30
Python开发工程师,武汉市中纪生物科技有限公司,武汉-东湖新技...,0.8-1.2万/月,10-30
python 研发工程师,长安通信科技有限责任公司,北京-朝阳区,1-1.5万/月,10-30
Python开发工程师（金融交易系统开发）,上海同梁智能科技有限公司,上海-杨浦区,6-8千/月,10-30
Python数据开发工程师,合肥中科类脑智能技术有限公司,合肥-高新区,1.2-2万/月,10-30
高级软件工程师（Python）,励德爱思唯尔信息技术（北京）有限...,上海-长宁区,,10-30
Python开发工程师,广东赛百威信息科技有限公司,广州-黄埔区,0.8-1.2万/月,10-30
Python软件开发工程师,上海美武信息技术有限公司,上海-闵行区,1-1.5万/月,10-30
Python开发工程师,深圳市金证科技股份有限公司,南京,1-1.5万/月,10-30
python开发工程师,广州君和信息技术有限公司,广州-越秀区,0.5-1万/月,10-30
python工程师,深圳市猎芯科技有限公司,深圳-龙岗区,1-2万/月,10-30
00570-Python开发工程师后端 （叮诺科技）,上海诺亚金融服务有限公司,上海-杨浦区,1.2-2.4万/月,10-30
运维部Python开发工程师,卓尔发展（武汉）有限公司,武汉-黄陂区,1-2万/月,10-30
Python开发工程师,上海博为峰软件技术有限公司,杭州,6-8千/月,10-30
Python开发工程师,深圳市德科信息技术有限公司,深圳-福田区,1-1.5万/月,10-30
Python开发工程师,深圳朗安信息科技有限公司,深圳-南山区,1.5-2万/月,10-30
python研发工程师,颉一软件科技有限公司,北京,1.5-2万/月,10-30
python爬虫开发工程师（双休+奖金）,邯郸市辰星网络科技有限公司,邯郸,4.5-8千/月,10-30
中级软件工程师(Python),重庆维普资讯有限公司,重庆-渝北区,0.6-1.2万/月,10-30
Python开发工程师,普元信息技术股份有限公司,上海-黄浦区,1.2-1.5万/月,10-30
初级python爬虫开发工程师(双休+奖金),深圳市佳创科技有限公司,东莞-南城区,4.5-6千/月,10-30
( [ python爬虫开发工程师 ] ),深圳市运维软件有限公司,深圳-南山区,4.5-6千/月,10-30
Python软件工程师,上海数腾软件科技股份有限公司,上海,1-2万/月,10-30
python开发工程师（前景好，双休）,深圳木星风暴科技有限公司,深圳-宝安区,4.5-8千/月,10-30
Python开发工程师,广州碧软信息科技有限公司,深圳-盐田区,0.8-1.5万/月,10-30
(急聘) python开发工程师,深圳讯腾软件技术有限公司,深圳-南山区,4.5-6千/月,10-30
python开发工程师-赴微软,深圳市德梅寒科技有限公司,深圳-南山区,2-2.5万/月,10-30
Python高级研发工程师,北京好巧国际旅行社有限公司,北京,2-3.5万/月,10-30
Python高级开发工程师,小马股份有限公司西安分公司,西安-高新技术...,0.5-2.5万/月,10-30
Python开发工程师,广州宝巨信息技术有限公司,广州,0.6-1万/月,10-30
python高级爬虫工程师,上海睿翎法律咨询服务有限公司,上海-青浦区,0.9-1.8万/月,10-30
Python开发实习生,陕西养正文化发展有限公司,西安-高新技术...,4.5-6千/月,10-30
Python高级研发工程师,成都安美勤信息技术股份有限公司,成都-高新区,0.6-1.5万/月,10-30
Python高级开发工程师,广州天鹏计算机科技有限公司,广州-天河区,1-2万/月,10-30
Linux python开发运维,杭州联众医疗科技股份有限公司,杭州,1-2万/月,10-30
python工程师,成都云禾网信科技有限公司,成都-龙泉驿区,0.6-1万/月,10-30
急聘python开发助理,东软睿道（哈尔滨）,哈尔滨-南岗区,3-4.5千/月,10-30
Python后端软件web开发（数湖信息）,中科云智孵化器,东莞,0.8-1.2万/月,10-30
Python开发工程师,上海新炬网络信息技术股份有限公司,济南,0.8-1.5万/月,10-30
Python工程师（人工智能开发工程师）,摩佰尔（天津）电子科技有限公司,天津-东丽区,1.3-1.6万/月,10-30
Python 讲师,江苏万和系统工程有限公司,南京-雨花台区,1.2-2万/月,10-30
云计算工程师（Python）,南京熙泰信息技术有限公司,南京,0.8-1万/月,10-30
Python开发工程师,青牛智胜（深圳）科技有限公司,深圳-南山区,1.5-2.5万/月,10-30
python工程师,苏州橡木盾信息科技有限公司,苏州-高新区,4-8千/月,10-30
Java/Python软件开发工程师,广州卓振智能科技有限公司,广州-天河区,0.8-1.2万/月,10-30
python开发,上海宽睿信息科技有限责任公司,上海-浦东新区,0.8-2万/月,10-30
Python开发（爬虫）实习助理,郑州启凡计算机软件有限公司,郑州-中原区,4.5-6千/月,10-30
Python讲师,北京智联友道科技有限公司,北京-海淀区,1.5-2万/月,10-30
高级软件工程师（Web后台 MIS Python）,成都万创科技有限责任公司,成都,0.6-1.5万/月,10-30
Python爬虫工程师（双休 7险1金）,广东盟讯科技有限公司,广州-番禺区,0.7-1万/月,10-30
"Python, Swift, Java 软件工程师",宁波创母体网络科技有限公司,宁波,4-6千/月,10-30
Python/Django开发工程师,浙江找饭金融信息服务有限公司,宁波-鄞州区,0.6-1万/月,10-30
Python开发工程师,美亚商旅集团,广州-海珠区,0.6-1.2万/月,10-30
Python开发工程师（驻场）,上海亚安信息技术有限公司,上海-虹口区,10-15万/年,10-30
Python开发工程师,深圳市易思博酷客科技有限公司,深圳-福田区,1-1.8万/月,10-30
Python开发工程师,上海天地汇供应链管理有限公司,上海,1-1.5万/月,10-30
Python Developer,普华永道信息技术（上海）有限公司,上海-浦东新区,1.2-2.4万/月,10-30
服务端研发工程师-Python（万得子公司）,万得信息技术股份有限公司（Wind资...,上海-浦东新区,,10-30
python工程师助理,合肥景路数据科技有限公司,合肥-经开区,4.5-6千/月,10-30
Python开发工程师,上海天玑科技股份有限公司,杭州,1.5-2万/月,10-30
Python开发工程师,上海天玑数据技术有限公司,上海,1.2-2.5万/月,10-30
Python开发工程师,江苏盈达信息技术有限公司,南京-建邺区,0.8-1.2万/月,10-30
Python开发工程师,广州嘉为科技有限公司,广州-天河区,0.8-1万/月,10-30
Python开发工程师,广州市诚毅科技软件开发有限公司,广州,0.8-1.2万/月,10-30
Python开发工程师,湖南美音网络技术有限公司,长沙-岳麓区,4-6千/月,10-30
Python开发后端软件工程师,宏居网络技术（上海）有限公司,上海,2-3万/月,10-30
Python开发工程师,康码（上海）生物科技有限公司,上海-浦东新区,0.7-1.4万/月,10-30
Python开发工程师,成都互联汇智科技有限公司,成都,0.6-1.2万/月,10-30
Python高级开发工程师,国电华研电力科技有限公司,广州-天河区,0.8-1.5万/月,10-30
Python开发工程师,“前程无忧”51job.com（光谷）,武汉-洪山区,,10-30
Python开发工程师,会找房（北京）网络技术有限公司,北京,,10-30
Python开发工程师,宇博信诚（北京）信息技术有限公司,杭州,1.2-2万/月,10-30
Python高级开发工程师,杭州盈丰软件股份有限公司,杭州,1-2万/月,10-30
中级Python开发工程师（GIS方向）,广东星舆科技有限公司,广州-天河区,1.2-2.4万/月,10-30
python工程师-智能云业务线03,微医集团,杭州,1-2.5万/月,10-30
Python带薪学徒 双休 接受转行,黑龙江中软国际信息技术有限公司,哈尔滨-南岗区,4.5-6千/月,10-30
Python算法开发工程师,北京世纪超星信息技术发展有限责任...,南京,2-4万/月,10-30
Python开发工程师,广东佳鸿达科技股份有限公司,梅州,4-8千/月,10-30
Python开发工程师,清华珠三角研究院,广州-黄埔区,1-1.5万/月,10-30
Python讲师,深圳前海杜威教育有限公司,深圳-宝安区,1-1.5万/月,10-30
Python（高级&资深&leader）,明源软件,深圳,1.8-3.5万/月,10-30
Python数据工程师,湖南中德安普云瞻智审有限公司,长沙-天心区,1-2万/月,10-30
python工程师,郑州科瑞思拓软件科技有限公司,郑州-高新区,0.8-1万/月,10-30
python开发工程师,杭州迪普科技股份有限公司,北京-海淀区,10-20万/年,10-30
Python software engineer,上海皮赛电子有限公司,上海-浦东新区,2.5-3万/月,10-30
Python开发工程师,郑州软通合力计算机技术有限公司,南京-玄武区,0.6-1.2万/月,10-30
python 开发工程师,杭州迪普科技股份有限公司,杭州-滨江区,0.7-1.5万/月,10-30
Python开发工程师,江苏开博信息科技有限公司,南京-秦淮区,1-1.5万/月,10-30
Python开发工程师,武汉蓝海科创技术有限公司,武汉-硚口区,0.8-1万/月,10-30
python自然语言处理工程师,车音智能科技有限公司,上海,1-2万/月,10-30
python开发工程师（初级）,上海点晟信息科技有限公司,上海-浦东新区,0.8-1.2万/月,10-30
Python开发工程师-南京,中电福富信息科技有限公司,南京,0.6-1万/月,10-30
Python开发工程师,浙江豪联信息科技有限公司,温州,4.5-6千/月,10-30
Python Developer,斯帝芬尼信息科技（吉林）有限公司,广州-天河区,1-1.5万/月,10-30
Python工程师,上海网钜信息科技有限公司,上海-浦东新区,0.8-1万/月,10-30
Python开发工程师,苏州光格设备有限公司,苏州,0.8-1.5万/月,10-30
高级Python开发工程师,深圳市证通电子股份有限公司,异地招聘,1.5-2万/月,10-30
python人工智能讲师,河南博堂电子科技有限公司,郑州,0.7-1.4万/月,10-30
Python开发工程师,亚创博彦（上海）信息技术有限公司,上海-长宁区,1-2万/月,10-30
Python开发工程师,迈思腾科技（武汉）有限公司,武汉,4-5.5千/月,10-30
Python开发工程师,沈阳东软软件人才培训中心,沈阳-浑南区,4-6千/月,10-30
Python开发工程师,深圳市紫川软件有限公司,上海-浦东新区,1-1.5万/月,10-30
Python开发工程师,浙江今明教育文化发展有限公司,杭州-西湖区,1-1.5万/月,10-30
python开发工程师（初级）,上海昶伴信息科技有限公司,上海-浦东新区,0.8-1.5万/月,10-30
python技术顾问/java技术顾问,Capgemini Japan K. K.凯捷日本,大连,1-1.5万/月,10-30
Python开发工程师,深圳硕软技术有限公司,深圳,1-2万/月,10-30
Python高级开发工程师,湖南中智名优特商业运营有限公司,长沙-岳麓区,0.5-1.5万/月,10-30
图像算法工程师(python),广东奥普特科技股份有限公司,东莞-长安镇,1-1.5万/月,10-30
Go/Python语言开发工程师,广州市长寿村饮品（连锁）有限公司,广州-天河区,4-7千/月,10-30
Python开发工程师,浙江清华柔性电子技术研究院,嘉兴,15-20万/年,10-30
手游服务端开发工程师（Python）,网易集团,广州-天河区,1.5-2万/月,10-30
Python开发工程师-开放平台部,中移物联网有限公司,重庆-渝北区,0.8-1万/月,10-30
Python开发工程师4775,普信恒业科技发展（北京）有限公司,北京,2.5-3万/月,10-30
JAVA/Python开发工程师(3691),完美世界（北京）总部/完美时空,北京,1.5-2万/月,10-30
Python开发工程师（上海）,平安科技（深圳）有限公司,上海-浦东新区,1.5-3万/月,10-30
Python 开发工程师,新华三技术有限公司,杭州-滨江区,1-2.5万/月,10-30
Python开发工程师（杭州湾）,吉利集团（信息工程中心）,异地招聘,1-1.5万/月,10-30
Senior Retail System Engineer(Python),绫致时装（天津）有限公司,北京-朝阳区,1.5-2万/月,10-30
高级/首席软件测试工程师-Python/Ruby/C/Perl/Shell,戴尔（中国）有限公司,北京,30-40万/年,10-30
Python开发,亚信科技（中国）有限公司,北京-海淀区,1-2万/月,10-30
Python开发工程师,亚信软件CMC,郑州-高新区,1-2万/月,10-30
Software Support Engineer_Python/Linux 258831,Ericsson (China) Communications...,上海,,10-30
Python开发高级工程师,上海数旦信息技术有限公司,上海-徐汇区,2-3万/月,10-30
ETL工程师（Python数据处理）,深圳市本牛科技有限责任公司,深圳-南山区,0.8-1.5万/月,10-30
python数据分析,深圳市德科信息技术有限公司,上海-浦东新区,1-1.5万/月,10-30
Python工程师,深圳市凯利讯科技有限公司,深圳-福田区,6-8千/月,10-30
Python开发工程师(合肥),若尔丹（上海）软件开发有限公司,合肥,6-8千/月,10-30
Python开发工程师,西安奥卡云数据科技有限公司,西安-西咸新区,1.5-2万/月,10-30
python后端工程师,重庆华多网络科技有限公司,重庆-渝中区,0.8-1万/月,10-30
python讲师,西安优逸客网络科技有限公司,西安-高新技术...,0.8-1万/月,10-30
Python开发工程师,上海鋆创信息技术有限公司,上海-静安区,1.5-2万/月,10-30
Python后端高级开发工程师,武汉皮皮外语网络科技有限公司,北京-海淀区,1.5-2.5万/月,10-30
Python开发工程师,江苏灵匠信息科技有限公司,徐州,0.6-1万/月,10-30
Python开发工程师,广州沃港电子科技有限公司,广州-番禺区,1.5-2.2万/月,10-30
Python开发工程师,珠海国芯云科技有限公司,珠海-香洲区,0.8-1.5万/月,10-30
Python开发工程师,南京巨美生活信息科技有限公司,南京,1-1.5万/月,10-30
Python开发工程师,大连东创装饰装修设计有限公司,大连,3.8-4.2千/月,10-30
Python软件工程师,深圳市文言科技发展有限公司,深圳,5.5-7千/月,10-30
高级Python软件工程师/Python构架师,上海靖奇投资管理有限公司,上海-徐汇区,2.5-3.3万/月,10-30
Python开发工程师,深圳房讯通信息技术有限公司,深圳,1.7-2万/月,10-30
Python开发工程师,上海酷屏信息技术有限公司,上海-虹口区,1-1.8万/月,10-30
移动平台后端高级开发工程师（Go/Python）,北京乐城堡科技有限公司,北京-东城区,2.5-3万/月,10-30
Python开发工程师,山东远思信息科技有限公司,济南-高新区,6-8千/月,10-30
python程序员,南昌得思信息技术有限公司,南昌-青山湖区,1-1.5万/月,10-30
python web 开发工程师,中国电子科技集团公司第十五研究所...,北京-海淀区,0.8-1万/月,10-30
Python工程师（爬虫方向）,深圳市涌浪网络技术有限公司,深圳-南山区,15-20万/年,10-29
Python开发工程师,东软睿道教育,沈阳-浑南区,6-8千/月,10-29
少儿编程老师/Scratch教师/Python教师,上海约合教育科技有限公司,上海-浦东新区,200元/小时,10-29
-Python开发实习（接受零基础）+转行,郑州鼎杰电子科技有限公司,郑州-管城回族区,4.5-6千/月,10-29
Python开发实习生（接受零基础）+五险一金,河南康时电子科技有限公司,郑州-管城回族区,4-7千/月,10-29
东软-Python-web开发工程师,东软睿博,沈阳,6-8千/月,10-29
Python开发工程师,中创软件,异地招聘,6-8千/月,10-29
.python助理/实习生+助理+五险一金,郑州合浩电子科技有限公司,郑州-管城回族区,3.6-6千/月,10-29
Python算法工程师,深圳前海川谷信息技术有限公司,北京-朝阳区,1.5-2万/月,10-29
Python助教,湖南潭州教育网络科技有限公司成都...,成都-高新区,3-6千/月,10-29
初级Python开发工程师（可实习）,大连东软睿创科技发展有限公司,大连,4.5-6千/月,10-29
Python证券业务后台开发工程师,富途网络科技（深圳）有限公司,深圳-南山区,1.5-3万/月,10-29
Python开发工程师,广州锦行网络科技有限公司,广州-越秀区,0.6-1万/月,10-29
Python后端开发实习生+包食宿,长沙市岳麓区黎美君小吃店,长沙-开福区,4.5-6千/月,10-29
高级Python金融开发工程师,厦门宽投信息科技有限公司,上海-静安区,20-40万/年,10-29
Python开发工程师,合肥微网网络科技有限公司,合肥-高新区,5-8千/月,10-29
python开发工程师,盛大游戏,上海-浦东新区,1.2-1.8万/月,10-29
Python开发工程师,景星网络科技（北京）有限公司,北京,0.8-1.8万/月,10-29
Python开发工程师,北京蓝卡科技股份有限公司,北京-海淀区,1-2万/月,10-29
高级Python开发工程师 - -抖音上海,字节跳动,上海,2.5-5万/月,10-29
Python爬虫工程师,成都启发分期科技有限公司,成都-高新区,1-1.5万/月,10-29
python开发,深圳市网新新思软件有限公司,成都,0.7-1.3万/月,10-29
Python开发工程师,苏州梦嘉传媒有限公司,苏州-工业园区,1.2-1.8万/月,10-29
Python开发工程师,杭州矛矛予科技有限公司,杭州-滨江区,1.2-1.8万/月,10-29
Python开发工程师,济南商迅在线计算机网络技术有限公司,济南-高新区,0.6-1.2万/月,10-29
Python Dev.,瞬联软件科技（北京）有限公司 CI...,上海,0.9-1.7万/月,10-29
Python后端开发工程师,北京多来点信息技术有限公司,北京-西城区,1.5-2.5万/月,10-29
Python工程师,成都贝尔通讯实业有限公司,成都,0.8-1.6万/月,10-29
Python开发工程师（黄浦区）,北京人和创建信息技术有限公司,上海-黄浦区,1-1.5万/月,10-29
朝九晚六+Python开发工程师,广东天战网络科技有限公司,广州-天河区,0.7-1万/月,10-29
Python Service Developer,上海吾创信息科技有限公司,上海-浦东新区,1.2-1.8万/月,10-29
[SQR27]Python实习生,睿思商业智能（深圳）有限公司,深圳-福田区,4.5-7千/月,10-29
Python开发工程师,上海云逐信息技术有限公司,上海-静安区,1-1.5万/月,10-29
python爬虫工程师,深圳市前海必胜道网络科技有限公司,深圳-龙华新区,1-1.5万/月,10-29
Python爬虫开发,成都新盛利科技有限公司,成都-高新区,7-9千/月,10-29
Python开发/深度学习,上海凯融信息科技有限公司,上海-普陀区,0.7-1.5万/月,10-29
Python开发工程师,福华中金互联网信息有限公司,上海-虹口区,1.5-2.5万/月,10-29
Python开发工程师,中腾信金融信息服务（上海）有限公司,上海-虹口区,1.5-2.5万/月,10-29
Python开发工程师,陕西晟运通科技有限公司,西安-雁塔区,0.6-1.5万/月,10-29
Python开发工程师,湖南六星教育网络科技有限公司,长沙-岳麓区,4-8千/月,10-29
